1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,1.2322,1.073,0.3235,2.2657,0.6258,1.1951,0.4552,1.0637,0.7322,0.8286,0.4945,0.8855,1.4519,2.586,0.3545,1.0693,1.6559
,,1.3388,1.1557,0.6962,1.157,0.4741,0.7617,0.5238,1.9555,1.1311,0.6899,1.0662,1.493,1.2021,2.2829,0.6796,0.7856,1.7729
,,1.3029,1.2763,0.6613,1.7609,0.3384,1.7408,0.6763,1.1803,0.5805,0.7059,0.4863,0.9801,0.7755,1.2343,0.734,0.7839,1.0504
,,1.4072,1.4625,0.4035,1.3748,0.9238,0.8025,0.58,1.5065,0.7756,0.619,0.7276,1.8705,1.4115,1.1431,0.4912,0.6172,1.9358
,,1.2714,1.2462,0.5505,1.1895,0.524,1.3298,0.7401,0.8477,0.6956,0.9536,0.8132,1.6816,1.3887,1.4953,0.7975,0.6553,1.3265
,,1.0142,0.518,0.4091,1.2076,0.742,1.4439,0.4859,2.4177,0.6176,1.3507,0.756,1.4091,1.1933,1.3492,0.6671,0.9567,0.8669
,,0.8181,0.6537,1.5246,3.1675,0.5014,1.0029,0.5047,0.5626,0.6179,1.5214,1.1431,0.7922,0.8725,1.2863,0.4052,1.0583,1.5167
,,1.6174,2.6591,0.4135,1.8348,0.3515,0.527,0.6013,0.8094,0.6042,0.4624,0.437,1.2348,0.9665,1.7128,0.4977,1.0182,1.8642
,,1.1225,1.0382,0.297,0.8186,0.949,1.2116,0.6251,1.6858,0.6533,0.5137,0.7391,0.8445,1.6027,1.3952,0.5139,1.5491,2.1476
,,2.0482,0.9385,0.4623,1.9188,0.7011,1.49,0.5476,2.14,1.2114,0.5581,0.3533,0.7495,1.1191,1.2748,0.662,0.7291,0.6943
,,1.6062,0.5488,0.5289,0.9565,0.364,0.6801,0.8349,1.1501,1.1567,0.8657,0.7328,0.6385,1.1731,1.5047,0.3491,0.9442,1.3019
,,0.7492,0.8828,0.4931,1.5819,0.4538,1.1895,0.3648,0.685,0.5932,0.9341,0.824,1.3398,1.6913,0.9185,0.6129,1.1007,2.1495
,,0.8756,0.8371,0.9084,2.4419,0.3497,1.7941,0.6801,1.2861,0.5851,1.0029,0.7823,1.5214,1.0822,1.4216,0.7226,0.4834,1.0006
