1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2.4318,2.3373,1.1489,0.6663,0.8834,0.7938,0.8222,1.2429,0.5382,1.0213,0.5491,0.5097,1.0071,0.673,0.5637,1.0906,0.9253,0.6877,0.5822
1.5543,2.1188,0.9591,1.0015,0.8995,0.8408,1.4145,1.0854,0.4657,0.9606,0.4491,0.4476,0.7863,0.4098,0.5974,1.0628,1.0848,0.6814,0.9847
2.1192,2.1574,1.5866,0.9705,1.1947,0.5757,1.0825,1.7941,0.5306,1.0141,0.4318,0.4681,0.8554,0.5745,0.6843,1.2304,0.691,0.9598,0.9953
2.319,1.8825,1.464,0.6708,0.9174,0.7587,1.0614,1.0915,0.5494,1.1675,0.5091,0.6061,0.9425,0.5022,0.7914,1.023,0.8265,0.5241,1.3086
2.1995,1.6063,1.1036,0.8203,0.836,1.0657,0.9438,1.3878,0.5263,0.851,0.5954,0.3955,0.9501,0.5538,0.6757,1.0903,0.6445,0.9358,1.0806
2.7389,1.9406,1.3759,0.8341,0.9617,0.7883,0.933,0.9669,0.5709,0.9572,0.7051,0.4537,0.5326,0.6952,0.4535,0.953,1.0681,0.6267,0.9085
2.0605,1.4755,1.14,0.8412,0.9235,0.7322,0.9931,1.1205,0.5365,0.8912,0.4881,0.4672,0.543,0.3927,0.4865,1.1354,0.6432,0.7673,1.0455
2.1512,1.7294,1.2531,0.6325,0.7249,0.7451,1.0162,1.158,0.6088,1.1471,0.3769,0.3909,0.7025,0.5899,0.6946,1.0938,0.7547,0.7302,1.0353
1.9112,1.4712,1.0911,0.8204,0.8579,0.9422,0.7366,1.1897,0.6131,0.6702,0.6243,0.4978,0.8301,0.6729,0.6715,0.9777,0.9401,0.7069,0.9792
2.7588,1.5414,1.3036,0.6632,1.1773,0.5581,1.1501,1.9441,0.6109,0.8934,0.458,0.4785,0.9818,0.576,0.5834,0.9286,0.5784,0.7553,0.8719
2.8711,1.621,1.1292,0.9412,1.2296,0.7342,1.1319,1.7067,0.6541,0.8843,0.5867,0.4568,0.9335,0.4952,0.7452,1.146,0.7348,0.764,1.0318
1.3712,2.2237,1.2616,0.7937,0.9628,0.5573,1.1285,1.2706,0.8,1.2286,0.4317,0.3912,0.8176,0.4875,0.4847,0.8659,0.8786,0.7397,1.1869
2.0797,1.4689,1.3307,1.0343,0.9585,0.7692,0.9001,1.4536,0.7013,0.7136,0.5301,0.5198,0.7358,0.5424,0.6523,1.1114,0.8347,0.7253,0.9278
3.3629,1.8865,1.226,0.8049,1.0767,0.6291,1.2769,1.395,0.6026,0.9409,0.4877,0.6005,0.665,0.5762,0.5287,0.9495,0.7344,0.5068,0.779
1.8721,1.7929,1.4092,0.8227,0.7775,0.8835,1.1683,1.3089,0.4053,0.7082,0.4834,0.4322,0.736,0.4702,0.6519,1.1398,0.6113,0.7285,1.2313
2.1027,2.0952,1.5482,0.9199,0.6835,0.7509,0.8823,1.5107,0.7137,1.287,0.5459,0.376,0.6877,0.5697,0.4048,0.852,0.8611,1.0209,0.8491
1.8999,2.3209,1.3333,0.6617,0.7508,0.6964,0.8918,1.2598,0.867,1.112,0.4803,0.4155,0.7996,0.4296,0.5019,1.2947,0.7411,0.7112,0.9246
2.5544,1.7822,1.1942,0.7213,0.9008,0.8353,0.9794,1.0022,0.6402,1.0165,0.5194,0.5059,0.8931,0.6423,0.5222,0.9689,0.995,0.7031,1.4254
1.7304,1.8009,1.3223,0.9677,0.9997,0.8375,1.3015,1.4338,0.69,0.6553,0.5181,0.3878,0.758,0.5617,0.5603,1.4733,0.8011,0.7916,0.9006
2.5811,1.766,1.2516,0.7996,0.8431,0.7345,0.8355,1.1198,0.6192,0.7774,0.3614,0.5021,0.7213,0.7369,0.5094,0.7314,0.8854,0.8011,1.3627
2.0295,1.5764,1.145,0.711,1.1378,0.5742,1.5106,1.0841,0.7508,1.2037,0.4847,0.4304,0.683,0.6001,0.7839,0.9578,0.6488,0.5373,0.9801
2.1958,1.2974,1.5116,0.83,0.9205,0.7113,0.8591,1.408,0.7347,0.9673,0.5918,0.359,0.8003,0.5317,0.5253,1.2679,0.874,0.727,1.1705
3.3265,2.5944,1.393,0.8586,0.9285,0.7893,0.6736,0.8548,0.6893,1.0335,0.387,0.3979,0.7571,0.5217,0.5475,0.7882,0.6702,0.9074,1.0498
1.9865,1.3866,1.2506,0.7381,1.1269,0.7073,0.8369,1.0624,0.5166,0.9481,0.6533,0.3585,0.6887,0.6298,0.5589,0.8674,0.8582,0.9546,0.8699
2.0184,2.1135,0.9902,0.8184,0.7635,0.7725,0.7419,1.532,0.6797,0.8381,0.4309,0.3606,0.7921,0.5052,0.5823,0.9324,0.7785,0.486,0.8647
1.5898,2.4554,0.9812,0.7613,1.1561,0.9157,1.1106,1.0764,0.5386,0.6443,0.4944,0.4749,0.9733,0.6105,0.5771,1.1723,0.7989,0.6531,1.1282
2.1243,2.2537,1.4427,0.7119,0.9141,0.7087,1.1776,1.9092,0.6722,0.9448,0.4596,0.4382,0.606,0.6624,0.5702,1.1637,0.9484,0.9501,0.8937
1.8956,1.8194,1.4596,0.7633,0.9819,0.6125,0.7011,1.1764,0.56,0.8534,0.3927,0.3977,0.8803,0.5918,0.6146,1.2582,0.8241,0.7124,1.1446
1.6806,1.5057,1.2168,0.7392,0.8768,0.596,0.7836,1.8722,0.6261,1.0019,0.509,0.3126,0.8657,0.4601,0.4374,0.8867,0.6902,0.8062,0.9667
1.3167,1.9364,1.569,0.6521,0.9579,0.7167,1.4757,1.1171,0.3674,1.3544,0.5035,0.407,0.931,0.6608,0.5399,0.9879,1.148,0.7636,0.8393
